Source,Target,Weight,Type
16,103,0.4778,Undirected
16,104,0.4451,Undirected
16,111,0.2628,Undirected
16,140,0.4762,Undirected
16,141,0.4695,Undirected
16,146,0.2929,Undirected
16,147,0.3039,Undirected
16,148,0.3435,Undirected
16,163,0.256,Undirected
16,194,0.2069,Undirected
16,206,0.2446,Undirected
16,259,0.4026,Undirected
16,260,0.4779,Undirected
16,269,0.3067,Undirected
16,296,0.3978,Undirected
16,335,0.2506,Undirected
16,391,0.2069,Undirected
16,440,0.5452,Undirected
16,441,0.2433,Undirected
16,442,0.6283,Undirected
16,459,0.4768,Undirected
16,460,0.4514,Undirected
16,461,0.4747,Undirected
16,465,0.2643,Undirected
16,470,0.2197,Undirected
16,484,0.4957,Undirected
16,485,0.4845,Undirected
16,501,0.2893,Undirected
16,544,0.2175,Undirected
16,574,0.4515,Undirected
16,589,0.4769,Undirected
16,590,0.48,Undirected
16,591,0.503,Undirected
16,592,0.4925,Undirected
16,599,0.3208,Undirected
16,627,0.3907,Undirected
16,640,0.2664,Undirected
17,18,0.9639,Undirected
17,19,0.2765,Undirected
17,33,0.2663,Undirected
17,52,0.247,Undirected
17,63,0.2291,Undirected
17,89,0.7104,Undirected
17,90,0.2735,Undirected
17,116,0.2212,Undirected
17,146,0.2478,Undirected
17,150,0.2047,Undirected
17,159,0.2152,Undirected
17,194,0.2077,Undirected
17,206,0.4069,Undirected
17,207,0.3824,Undirected
17,208,0.3242,Undirected
17,272,0.3824,Undirected
17,311,0.4874,Undirected
17,312,0.4874,Undirected
17,313,0.532,Undirected
17,340,0.2194,Undirected
17,398,0.3619,Undirected
17,399,0.3541,Undirected
17,400,0.22,Undirected
17,420,0.5691,Undirected
17,421,0.5829,Undirected
17,445,0.5746,Undirected
17,462,0.2093,Undirected
17,498,0.2004,Undirected
17,501,0.2835,Undirected
17,541,0.2604,Undirected
17,542,0.2252,Undirected
17,543,0.3687,Undirected
17,544,0.306,Undirected
17,578,0.7209,Undirected
17,579,0.829,Undirected
18,19,0.2669,Undirected
18,33,0.2164,Undirected
18,34,0.2028,Undirected
18,52,0.2128,Undirected
18,63,0.2113,Undirected
18,89,0.6999,Undirected
18,90,0.264,Undirected
18,146,0.2408,Undirected
18,194,0.2007,Undirected
18,206,0.4026,Undirected
18,207,0.3712,Undirected
18,208,0.3213,Undirected
18,272,0.3785,Undirected
18,311,0.4824,Undirected
18,312,0.4824,Undirected
18,313,0.5266,Undirected
18,340,0.2414,Undirected
18,398,0.4136,Undirected
18,399,0.3685,Undirected
18,400,0.2264,Undirected
18,420,0.5627,Undirected
18,421,0.5764,Undirected
18,445,0.5543,Undirected
18,501,0.2834,Undirected
18,541,0.253,Undirected
18,542,0.2252,Undirected
18,543,0.3661,Undirected
18,544,0.3048,Undirected
18,578,0.7188,Undirected
18,579,0.8045,Undirected
19,33,0.2595,Undirected
19,34,0.2002,Undirected
19,52,0.2878,Undirected
19,63,0.2512,Undirected
19,64,0.2387,Undirected
19,69,0.2186,Undirected
19,83,0.2399,Undirected
19,89,0.2798,Undirected
19,90,0.9962,Undirected
19,116,0.2369,Undirected
19,146,0.884,Undirected
19,147,0.2495,Undirected
19,151,0.2579,Undirected
19,157,0.2232,Undirected
19,159,0.2352,Undirected
19,163,0.4206,Undirected
19,164,0.2629,Undirected
19,168,0.2105,Undirected
19,202,0.2407,Undirected
19,206,0.2424,Undirected
19,340,0.2167,Undirected
19,398,0.2539,Undirected
19,399,0.2431,Undirected
19,441,0.2169,Undirected
19,442,0.4186,Undirected
19,462,0.2613,Undirected
19,465,0.4948,Undirected
19,470,0.2171,Undirected
19,498,0.212,Undirected
19,500,0.2477,Undirected
19,501,0.7051,Undirected
19,535,0.227,Undirected
19,544,0.2365,Undirected
19,578,0.2183,Undirected
19,579,0.294,Undirected
19,640,0.537,Undirected
20,21,0.723,Undirected
20,91,0.6757,Undirected
20,92,0.3744,Undirected
20,107,0.221,Undirected
20,115,0.2043,Undirected
20,177,0.5847,Undirected
20,178,0.5924,Undirected
20,192,0.2024,Undirected
20,391,0.2175,Undirected
20,446,0.6757,Undirected
20,447,0.7518,Undirected
20,466,0.2204,Undirected
20,474,0.2045,Undirected
20,517,0.5892,Undirected
20,518,0.595,Undirected
20,530,0.2024,Undirected
21,91,0.6759,Undirected
21,92,0.3527,Undirected
21,107,0.2129,Undirected
21,115,0.2002,Undirected
21,177,0.5559,Undirected
21,178,0.5632,Undirected
21,184,0.2451,Undirected
21,335,0.2124,Undirected
21,391,0.2952,Undirected
21,446,0.6759,Undirected
21,447,0.8513,Undirected
21,466,0.2091,Undirected
21,474,0.2004,Undirected
21,517,0.5568,Undirected
21,518,0.5623,Undirected
21,522,0.2051,Undirected
22,23,0.2313,Undirected
22,24,0.2575,Undirected
22,28,0.2231,Undirected
22,29,0.2468,Undirected
22,30,0.2822,Undirected
22,31,0.3245,Undirected
22,45,0.2246,Undirected
22,343,0.6167,Undirected
22,357,0.2143,Undirected
22,358,0.2287,Undirected
22,361,0.3119,Undirected
22,362,0.5679,Undirected
22,367,0.2964,Undirected
22,377,0.2824,Undirected
22,392,0.4003,Undirected
22,393,0.4268,Undirected
22,394,0.296,Undirected
22,395,0.2573,Undirected
22,481,0.2018,Undirected
22,482,0.2018,Undirected
23,24,0.2255,Undirected
23,28,0.2198,Undirected
23,29,0.2311,Undirected
23,30,0.2237,Undirected
23,31,0.2332,Undirected
23,45,0.2285,Undirected
23,47,0.2383,Undirected
23,343,0.2341,Undirected
23,362,0.2105,Undirected
23,367,0.2508,Undirected
23,377,0.2685,Undirected
23,392,0.2027,Undirected
23,393,0.2158,Undirected
23,394,0.2557,Undirected
23,395,0.2534,Undirected
24,28,0.2593,Undirected
24,29,0.2561,Undirected
24,30,0.2841,Undirected
24,31,0.3354,Undirected
24,45,0.4282,Undirected
24,46,0.7672,Undirected
24,47,0.599,Undirected
24,48,0.7318,Undirected
24,343,0.3546,Undirected
24,357,0.2854,Undirected
24,358,0.2701,Undirected
24,362,0.2428,Undirected
24,367,0.3456,Undirected
24,377,0.2992,Undirected
24,392,0.2837,Undirected
24,393,0.284,Undirected
